TreeDepth,Last Write Time,Hive Offset,Type,Key,Name,Data,Volatile
0,2018-06-21 06:46:36.000000 ,0x8b8534030000,Key,[NONAME],A,N/A,False
0,2018-06-21 06:43:27.000000 ,0x8b8534030000,Key,[NONAME],MACHINE,N/A,False
0,2018-06-21 06:35:48.000000 ,0x8b8534030000,Key,[NONAME],USER,N/A,False
0,2018-06-08 00:11:34.000000 ,0x8b8534030000,Key,[NONAME],WC,N/A,False
0,2017-10-04 03:14:35.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",ActivationBroker,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",ControlSet001,N/A,False
0,2018-01-22 00:26:07.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",DriverDatabase,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",Keyboard Layout,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",ResourceManager,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",ResourcePolicyStore,N/A,False
0,2018-06-08 00:11:34.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",RNG,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",Select,N/A,False
0,2018-06-08 00:13:11.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",Setup,N/A,False
0,2017-10-04 03:14:36.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",Software,N/A,False
0,2018-06-21 06:37:09.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",WPA,N/A,False
0,2018-06-08 00:11:34.000000 ,0x8b853403d000,Key,"\REGISTRY\MACHINE\SYSTEM",CurrentControlSet,N/A,True
0,2018-06-08 00:11:34.000000 ,0x8b853407d000,Key,"\REGISTRY\MACHINE\HARDWARE",ACPI,N/A,False
